SpineBase_X,SpineMid_X,Neck_X,Head_X,ShoulderLeft_X,ElbowLeft_X,WristLeft_X,HandLeft_X,ShoulderRight_X,ElbowRight_X,WristRight_X,HandRight_X,HipLeft_X,KneeLeft_X,AnkleLeft_X,FootLeft_X,HipRight_X,KneeRight_X,AnkleRight_X,FootRight_X,SpineShoulder_X,HandTipLeft_X,ThumbLeft_X,HandTipRight_X,ThumbRight_X,SpineBase_Y,SpineMid_Y,Neck_Y,Head_Y,ShoulderLeft_Y,ElbowLeft_Y,WristLeft_Y,HandLeft_Y,ShoulderRight_Y,ElbowRight_Y,WristRight_Y,HandRight_Y,HipLeft_Y,KneeLeft_Y,AnkleLeft_Y,FootLeft_Y,HipRight_Y,KneeRight_Y,AnkleRight_Y,FootRight_Y,SpineShoulder_Y,HandTipLeft_Y,ThumbLeft_Y,HandTipRight_Y,ThumbRight_Y,SpineBase_Z,SpineMid_Z,Neck_Z,Head_Z,ShoulderLeft_Z,ElbowLeft_Z,WristLeft_Z,HandLeft_Z,ShoulderRight_Z,ElbowRight_Z,WristRight_Z,HandRight_Z,HipLeft_Z,KneeLeft_Z,AnkleLeft_Z,FootLeft_Z,HipRight_Z,KneeRight_Z,AnkleRight_Z,FootRight_Z,SpineShoulder_Z,HandTipLeft_Z,ThumbLeft_Z,HandTipRight_Z,ThumbRight_Z
0.14833,0.14931,0.14904,0.14815,0.33883,0.54494,0.73119,0.77702,-0.034314,-0.060766,-0.06956,-0.049288,0.23208,0.28629,0.30079,0.30157,0.058314,0.020769,-0.001216,-0.015774,0.1493,0.82287,0.82069,-0.04745,-0.079316,1.9776,1.9927,1.9937,1.9907,1.9909,1.9546,1.7782,1.717,1.9932,2.0225,1.9573,1.9219,1.9294,1.9726,1.9909,1.8863,1.943,1.9879,1.996,1.8942,1.9958,1.6576,1.6925,1.914,1.9264,-0.021857,0.3296,0.66452,0.83572,0.52545,0.40576,0.33812,0.32289,0.50937,0.25757,-7.9647e-05,-0.097753,-0.021064,-0.46605,-0.84593,-0.92782,-0.021759,-0.48813,-0.84699,-0.92544,0.58297,0.29515,0.33113,-0.19279,-0.12747
0.14733,0.14825,0.14799,0.14644,0.34059,0.60034,0.7601,0.85337,-0.035223,-0.062491,-0.070501,-0.048895,0.23117,0.28594,0.30095,0.30137,0.057269,0.018545,-0.0013886,-0.01574,0.14824,0.89338,0.86789,-0.046401,-0.077861,1.9773,1.9924,1.9936,1.9908,1.9881,1.9331,1.7965,1.7115,1.9932,2.0225,1.9569,1.9211,1.9293,1.9762,1.9906,1.8822,1.9425,1.9842,1.9964,1.8968,1.9956,1.668,1.6881,1.915,1.9241,-0.02156,0.32988,0.6648,0.83617,0.52653,0.458,0.42705,0.42606,0.50901,0.25616,-0.0030942,-0.10127,-0.020856,-0.48272,-0.84583,-0.93128,-0.021371,-0.46797,-0.84691,-0.92388,0.58325,0.41522,0.45503,-0.19702,-0.13648
0.14672,0.1477,0.14771,0.14515,0.34399,0.60732,0.80898,0.89099,-0.036008,-0.06304,-0.070914,-0.049095,0.23026,0.28615,0.30125,0.30119,0.056932,0.019406,-0.001727,-0.015992,0.14785,0.93946,0.89485,-0.047484,-0.07532,1.9772,1.9923,1.9936,1.9905,1.9834,1.9222,1.7847,1.7389,1.9933,2.0224,1.9566,1.9194,1.9293,1.9748,1.9903,1.8818,1.9424,1.9861,1.9949,1.8938,1.9956,1.7027,1.7645,1.9151,1.9221,-0.020534,0.33035,0.66464,0.83637,0.52939,0.49248,0.47948,0.48731,0.50878,0.25553,-0.0037981,-0.10121,-0.019216,-0.47497,-0.84582,-0.9303,-0.020826,-0.48056,-0.85146,-0.92615,0.58332,0.48564,0.46503,-0.19734,-0.14332
0.14737,0.14812,0.14845,0.14431,0.34644,0.60737,0.81892,0.90718,-0.036641,-0.063206,-0.070655,-0.047428,0.23087,0.28623,0.30105,0.30043,0.057654,0.021147,-0.001731,-0.015906,0.14849,0.95534,0.91931,-0.048373,-0.076957,1.977,1.9925,1.9942,1.9907,1.9809,1.9115,1.7951,1.759,1.9933,2.0222,1.9553,1.919,1.9296,1.9745,1.9902,1.8863,1.9419,1.9829,1.996,1.8952,1.9961,1.7227,1.7893,1.9106,1.92,-0.019027,0.33046,0.66372,0.83642,0.53219,0.5099,0.4941,0.49525,0.50842,0.25546,-0.0048863,-0.094866,-0.017196,-0.47527,-0.84525,-0.92852,-0.019798,-0.47332,-0.84857,-0.92566,0.58274,0.49286,0.47338,-0.192,-0.12113
0.15052,0.15012,0.1496,0.14383,0.35041,0.60729,0.81571,0.90555,-0.037061,-0.062601,-0.068583,-0.047608,0.23399,0.28702,0.30219,0.30325,0.060929,0.022682,-0.0016739,-0.017034,0.1499,0.95191,0.9041,-0.048813,-0.079261,1.9767,1.993,1.9955,1.9925,1.9794,1.9109,1.81,1.7617,1.9928,2.0212,1.9521,1.9228,1.9304,1.9755,1.989,1.8764,1.9405,1.9846,1.9961,1.895,1.9972,1.7224,1.7791,1.9046,1.9267,-0.017104,0.33079,0.66258,0.83712,0.53303,0.51202,0.49292,0.49803,0.50865,0.2547,-0.0057573,-0.075703,-0.01499,-0.48058,-0.84608,-0.9352,-0.018228,-0.47611,-0.84718,-0.925,0.58189,0.49716,0.47461,-0.17158,-0.065246
0.15048,0.15027,0.14999,0.14457,0.35096,0.60856,0.81201,0.88162,-0.036833,-0.062484,-0.068407,-0.047652,0.23398,0.28709,0.30192,0.30218,0.060832,0.021359,-0.0016568,-0.017711,0.15021,0.92463,0.90194,-0.049214,-0.079232,1.9767,1.9931,1.9958,1.9931,1.9804,1.9301,1.8062,1.7552,1.9923,2.021,1.9518,1.9228,1.9304,1.9755,1.9889,1.8847,1.9403,1.9838,1.9958,1.8952,1.9974,1.7029,1.711,1.905,1.9255,-0.016965,0.33079,0.66235,0.83723,0.53306,0.49536,0.52003,0.55295,0.50908,0.25461,-0.0063301,-0.074737,-0.014925,-0.48062,-0.84598,-0.93152,-0.018046,-0.47345,-0.84673,-0.92557,0.58172,0.5653,0.51223,-0.16972,-0.065438
0.1505,0.15037,0.15001,0.14649,0.35194,0.61196,0.76762,0.80808,-0.035943,-0.062084,-0.068404,-0.048762,0.23401,0.28687,0.30191,0.30093,0.060851,0.021293,-0.0013005,-0.016849,0.15029,0.83152,0.80601,-0.052255,-0.078801,1.9766,1.9932,1.9962,1.993,1.9826,1.9593,1.8132,1.7653,1.9916,2.0207,1.9517,1.9218,1.9305,1.9751,1.9891,1.8879,1.9402,1.9844,1.9951,1.8946,1.9978,1.7038,1.6772,1.9038,1.9191,-0.017016,0.33099,0.66337,0.83727,0.53292,0.46446,0.5777,0.63412,0.50903,0.25528,-0.006367,-0.074435,-0.015125,-0.47839,-0.8451,-0.9284,-0.018019,-0.48116,-0.84959,-0.92535,0.58245,0.66882,0.58591,-0.16986,-0.10041
0.15045,0.15086,0.15151,0.15042,0.35282,0.60455,0.65449,0.65356,-0.033675,-0.060386,-0.068506,-0.048667,0.23391,0.28729,0.30237,0.29887,0.060797,0.021539,-0.00078856,-0.016644,0.15148,0.65256,0.65851,-0.05163,-0.081446,1.9765,1.9929,1.9952,1.9924,1.9857,1.9739,1.8574,1.8256,1.9904,2.0195,1.952,1.924,1.9303,1.9765,1.9891,1.8744,1.9402,1.9841,1.9967,1.8968,1.997,1.7962,1.7494,1.9083,1.9351,-0.017205,0.33145,0.66506,0.83753,0.53226,0.41349,0.62506,0.70908,0.50936,0.25751,-0.0062941,-0.074331,-0.015694,-0.48749,-0.84653,-0.93472,-0.018026,-0.48129,-0.84823,-0.92363,0.58378,0.76147,0.69332,-0.17072,-0.049799
0.1503,0.1512,0.15228,0.15314,0.35206,0.54844,0.57383,0.54883,-0.03201,-0.058953,-0.065567,-0.047099,0.23374,0.28734,0.30272,0.30012,0.060657,0.020585,-0.00044488,-0.016564,0.15214,0.52876,0.55167,-0.050413,-0.075708,1.976,1.9925,1.9948,1.9914,1.9874,1.9695,1.8874,1.8742,1.9898,2.0191,1.9524,1.9233,1.9296,1.9753,1.9902,1.8786,1.9397,1.9823,1.9971,1.8975,1.9966,1.8502,1.8022,1.9051,1.9194,-0.017597,0.33156,0.6655,0.83747,0.53196,0.44364,0.63408,0.7033,0.50966,0.25806,-0.0022126,-0.071272,-0.016494,-0.48399,-0.84435,-0.9324,-0.018126,-0.47145,-0.84739,-0.92372,0.58413,0.75958,0.69152,-0.16572,-0.11367
0.1502,0.15139,0.15269,0.15478,0.35149,0.54495,0.53536,0.4962,-0.031133,-0.058104,-0.066018,-0.050387,0.23366,0.28768,0.30277,0.30093,0.060551,0.021166,-0.00051691,-0.016461,0.1525,0.468,0.49925,-0.056781,-0.076363,1.9757,1.9923,1.9946,1.9909,1.9884,1.9705,1.9018,1.9003,1.9894,2.0187,1.961,1.929,1.9292,1.975,1.9902,1.8855,1.9396,1.9829,1.9975,1.8989,1.9964,1.8776,1.8386,1.8998,1.9192,-0.017798,0.33161,0.6657,0.83742,0.53192,0.44118,0.63794,0.69251,0.50962,0.25804,0.019254,-0.049625,-0.016871,-0.48123,-0.84421,-0.92656,-0.018195,-0.47452,-0.84612,-0.92288,0.5843,0.74394,0.68939,-0.1441,-0.091055
