Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time
564,52,0.25977,2.002,0.49902,0,12,1.6173e+09
564,52,0.26367,2.0322,0.49902,0,24,1.6173e+09
564,52,0.26758,2.0566,0.51758,0,33,1.6173e+09
564,52,0.33887,2.0713,0.54004,0,32,1.6173e+09
564,52,0.34277,2.0781,0.62305,0,22,1.6173e+09
564,52,0.34766,2.1133,0.60547,0,11,1.6173e+09
564,52,-0.23438,1.6699,0.81934,0.356,5,1.6173e+09
564,52,-0.11914,1.7988,0.6123,0.356,11,1.6173e+09
564,52,-0.18164,1.8652,0.47266,0.356,17,1.6173e+09
564,52,-0.12305,1.9209,0.38379,0.356,20,1.6173e+09
564,52,-0.18652,1.9619,0.28906,0.356,16,1.6173e+09
564,52,-0.18945,2.0029,0.19336,0.356,9,1.6173e+09
564,52,0.3252,1.957,0.62207,0.356,25,1.6173e+09
564,52,0.26367,2.0059,0.59473,0.356,47,1.6173e+09
564,52,0.33398,2.0176,0.62305,0.356,65,1.6173e+09
564,52,0.33887,2.0469,0.62793,0.356,63,1.6173e+09
564,52,0.34277,2.0625,0.67285,0.356,42,1.6173e+09
564,52,0.34766,2.0801,0.71289,0.356,19,1.6173e+09
564,52,-0.18359,1.9199,0.36035,0.71201,6,1.6173e+09
564,52,0.25977,1.9258,0.74121,0.71201,13,1.6173e+09
564,52,0.26367,1.9775,0.68359,0.71201,25,1.6173e+09
564,52,0.33398,1.9932,0.69922,0.71201,35,1.6173e+09
564,52,0.33887,2.0088,0.74023,0.71201,33,1.6173e+09
564,52,0.34277,2.0361,0.75,0.71201,22,1.6173e+09
564,52,0.41699,2.001,0.88086,0.71201,10,1.6173e+09
564,52,-0.23828,1.7959,0.58496,-0.356,9,1.6173e+09
564,52,-0.12109,1.8867,0.4043,-0.356,16,1.6173e+09
564,52,-0.18359,1.9248,0.33496,-0.356,18,1.6173e+09
564,52,0,1.9834,0.18457,-0.356,15,1.6173e+09
564,52,-0.27832,1.9824,-0.97266,0.71201,6,1.6173e+09
565,46,0.44238,1.8125,0.77832,0,6,1.6173e+09
565,46,0.38477,1.8965,0.67578,0,8,1.6173e+09
565,46,0.38965,1.9199,0.69727,0,8,1.6173e+09
565,46,0.46094,1.8555,0.89063,0,6,1.6173e+09
565,46,-0.18164,1.8545,0.51465,0.356,10,1.6173e+09
565,46,-0.18359,1.8916,0.49023,0.356,13,1.6173e+09
565,46,-0.24902,1.8535,0.68555,0.356,11,1.6173e+09
565,46,0.44238,1.8701,0.625,0.356,15,1.6173e+09
565,46,0.44824,1.8564,0.74512,0.356,23,1.6173e+09
565,46,0.51953,1.8643,0.76074,0.356,26,1.6173e+09
565,46,0.1377,1.9863,0.92871,0.356,16,1.6173e+09
565,46,0.38477,1.832,0.83594,0.71201,8,1.6173e+09
565,46,0.38965,1.8281,0.91016,0.71201,8,1.6173e+09
565,46,-0.18164,1.8701,0.45313,-0.356,9,1.6173e+09
565,46,-0.18359,1.9072,0.4248,-0.356,12,1.6173e+09
565,46,0.44824,1.9268,0.54004,-0.356,10,1.6173e+09
