Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time
567,13,0,1.958,0.12305,0.356,7,1.6173e+09
567,13,0,1.9902,0.079102,0.356,10,1.6173e+09
567,13,0.12598,2.0166,-0.0078125,0.356,11,1.6173e+09
567,13,0.12793,2.0459,-0.022461,0.356,13,1.6173e+09
567,13,0.12988,2.0645,0.21484,0.356,13,1.6173e+09
567,13,0.19727,2.0967,0.10645,0.356,12,1.6173e+09
567,13,0.061523,1.9609,0.024414,-0.356,6,1.6173e+09
567,13,0,1.9902,0.079102,-0.356,8,1.6173e+09
567,13,0.063477,2.0195,0.020508,-0.356,9,1.6173e+09
567,13,0.19238,2.0371,-0.12793,-0.356,9,1.6173e+09
567,13,0.12988,2.0752,0.046875,-0.356,10,1.6173e+09
567,13,0.19727,2.0996,-0.026367,-0.356,9,1.6173e+09
567,13,0.25586,2.0332,0.047852,0.356,13,1.6173e+09
568,8,0,1.9482,0.41211,0.356,7,1.6173e+09
568,8,0,1.9473,0.54102,0.356,10,1.6173e+09
568,8,0,2.0068,0.41992,0.356,11,1.6173e+09
568,8,0,2.0313,0.44629,0.356,9,1.6173e+09
568,8,0,1.9814,0.2041,-0.356,6,1.6173e+09
568,8,0,2.0068,0.2373,-0.356,8,1.6173e+09
568,8,0,2.0303,0.28809,-0.356,11,1.6173e+09
568,8,0,2.0664,0.2334,-0.356,10,1.6173e+09
569,26,0.18945,2.0029,0.18652,0,9,1.6173e+09
569,26,0.19238,2.0342,0.17285,0,17,1.6173e+09
569,26,0.19531,2.0635,0.16797,0,23,1.6173e+09
569,26,0.26367,2.0898,0.09668,0,24,1.6173e+09
569,26,0.2002,2.127,0.084961,0,16,1.6173e+09
569,26,0.20313,2.1572,0.024414,0,8,1.6173e+09
569,26,-2.2549,1.2393,-0.14941,0,9,1.6173e+09
569,26,-2.2813,1.2568,-0.11816,0,10,1.6173e+09
569,26,0.31543,1.9219,0.54004,0.356,13,1.6173e+09
569,26,0.32031,2.0137,0.21289,0.356,28,1.6173e+09
569,26,0.25977,2.0537,0.19727,0.356,42,1.6173e+09
569,26,0.26367,2.0879,0.1416,0.356,45,1.6173e+09
569,26,0.26758,2.1182,0.11719,0.356,35,1.6173e+09
569,26,-2.1748,1.3828,-0.051758,0.356,17,1.6173e+09
569,26,-2.1992,1.3975,-0.074219,0.356,18,1.6173e+09
569,26,-2.1416,1.5313,-0.12402,0.356,14,1.6173e+09
569,26,0.19238,2.0234,0.2666,0.71201,10,1.6173e+09
569,26,0.25977,2.0469,0.25586,0.71201,17,1.6173e+09
569,26,0.19727,2.0908,0.19531,0.71201,19,1.6173e+09
569,26,0.26758,2.1084,0.23438,0.71201,16,1.6173e+09
569,26,1.792,0,2.5479,-0.356,10,1.6173e+09
569,26,2.1914,0,-3.1299,-0.356,6,1.6173e+09
569,26,0.4834,2.5303,0.092773,0.356,13,1.6173e+09
569,26,0.40723,2.5713,0.13672,0.356,15,1.6173e+09
569,26,0.41211,2.5928,0.23438,0.356,12,1.6173e+09
569,26,0.40723,2.1162,1.4658,-0.356,9,1.6173e+09
570,51,0.37305,1.9561,-0.044922,0,5,1.6173e+09
570,51,0.37891,1.9844,-0.032227,0,9,1.6173e+09
570,51,0.064453,1.9824,0.51953,0,19,1.6173e+09
570,51,0.06543,2.0391,0.40234,0,31,1.6173e+09
570,51,0.13184,2.0898,0.25293,0,34,1.6173e+09
570,51,0.13379,2.127,0.17578,0,27,1.6173e+09
570,51,0.20313,2.1563,0.086914,0,15,1.6173e+09
570,51,0,1.8828,0.28125,0.356,5,1.6173e+09
570,51,0,1.9082,0.3125,0.356,7,1.6173e+09
